Start Training:
Iter: 0, Loss: 1.29417e+01, Loss_0: 7.71248e-01, Loss_1: 1.12496e+01, Loss_b: 8.13895e-01, Loss_f: 1.06943e-01
Iter: 100, Loss: 7.97711e+00, Loss_0: 1.28308e-04, Loss_1: 7.90757e+00, Loss_b: 2.30672e-02, Loss_f: 4.63439e-02
Iter: 200, Loss: 6.25186e+00, Loss_0: 2.76060e-04, Loss_1: 6.18214e+00, Loss_b: 2.99578e-03, Loss_f: 6.64533e-02
Iter: 300, Loss: 2.29226e+00, Loss_0: 2.15977e-04, Loss_1: 2.11172e+00, Loss_b: 1.74979e-03, Loss_f: 1.78568e-01
Iter: 400, Loss: 4.65994e-01, Loss_0: 5.22453e-05, Loss_1: 3.45845e-01, Loss_b: 7.53111e-05, Loss_f: 1.20021e-01
Iter: 500, Loss: 2.59593e-01, Loss_0: 5.24486e-05, Loss_1: 1.86405e-01, Loss_b: 2.21271e-05, Loss_f: 7.31139e-02
Iter: 600, Loss: 2.27754e-01, Loss_0: 9.97942e-05, Loss_1: 1.56623e-01, Loss_b: 1.12096e-03, Loss_f: 6.99099e-02
Iter: 700, Loss: 1.80643e-01, Loss_0: 3.78087e-05, Loss_1: 1.25586e-01, Loss_b: 1.47802e-05, Loss_f: 5.50045e-02
Iter: 800, Loss: 1.68447e-01, Loss_0: 3.35386e-05, Loss_1: 1.19265e-01, Loss_b: 2.27254e-05, Loss_f: 4.91254e-02
Iter: 900, Loss: 1.55978e-01, Loss_0: 4.35689e-05, Loss_1: 1.10874e-01, Loss_b: 4.29457e-05, Loss_f: 4.50173e-02
Iter: 1000, Loss: 1.48030e-01, Loss_0: 4.01110e-05, Loss_1: 1.05712e-01, Loss_b: 5.78753e-05, Loss_f: 4.22202e-02
Iter: 1100, Loss: 1.39102e-01, Loss_0: 3.01478e-05, Loss_1: 9.95978e-02, Loss_b: 5.65584e-05, Loss_f: 3.94179e-02
Iter: 1200, Loss: 1.37322e-01, Loss_0: 2.83066e-05, Loss_1: 9.43225e-02, Loss_b: 5.14428e-05, Loss_f: 4.29195e-02
Iter: 1300, Loss: 4.22153e-01, Loss_0: 1.67407e-04, Loss_1: 9.39679e-02, Loss_b: 7.94301e-04, Loss_f: 3.27224e-01
Iter: 1400, Loss: 3.12766e-01, Loss_0: 2.92625e-05, Loss_1: 8.81252e-02, Loss_b: 6.71142e-05, Loss_f: 2.24544e-01
Iter: 1500, Loss: 1.93913e-01, Loss_0: 3.73004e-05, Loss_1: 8.36225e-02, Loss_b: 1.19704e-04, Loss_f: 1.10134e-01
Iter: 1600, Loss: 1.14038e-01, Loss_0: 3.06721e-05, Loss_1: 8.03433e-02, Loss_b: 3.45904e-05, Loss_f: 3.36299e-02
Iter: 1700, Loss: 1.46774e-01, Loss_0: 3.11441e-05, Loss_1: 7.81019e-02, Loss_b: 6.11045e-05, Loss_f: 6.85796e-02
Iter: 1800, Loss: 1.31751e-01, Loss_0: 2.14718e-04, Loss_1: 9.35265e-02, Loss_b: 2.31870e-05, Loss_f: 3.79864e-02
Iter: 1900, Loss: 1.19048e-01, Loss_0: 5.81488e-05, Loss_1: 8.60635e-02, Loss_b: 4.73038e-06, Loss_f: 3.29214e-02
Iter: 2000, Loss: 1.15514e-01, Loss_0: 1.21832e-04, Loss_1: 8.15355e-02, Loss_b: 1.05210e-04, Loss_f: 3.37518e-02
Iter: 2100, Loss: 1.09780e-01, Loss_0: 4.31272e-05, Loss_1: 8.01308e-02, Loss_b: 2.07907e-04, Loss_f: 2.93981e-02
Iter: 2200, Loss: 1.06276e-01, Loss_0: 2.94453e-05, Loss_1: 7.63544e-02, Loss_b: 4.92250e-06, Loss_f: 2.98873e-02
Iter: 2300, Loss: 9.75215e-02, Loss_0: 1.57482e-05, Loss_1: 6.82229e-02, Loss_b: 4.20144e-06, Loss_f: 2.92787e-02
Iter: 2400, Loss: 9.58619e-02, Loss_0: 4.28782e-05, Loss_1: 6.71178e-02, Loss_b: 1.49930e-06, Loss_f: 2.86997e-02
Iter: 2500, Loss: 9.41120e-02, Loss_0: 6.75773e-06, Loss_1: 6.60653e-02, Loss_b: 1.16889e-05, Loss_f: 2.80282e-02
Iter: 2600, Loss: 1.05249e-01, Loss_0: 5.28343e-05, Loss_1: 6.61605e-02, Loss_b: 3.65727e-05, Loss_f: 3.89991e-02
Iter: 2700, Loss: 9.31727e-02, Loss_0: 1.67124e-05, Loss_1: 6.51005e-02, Loss_b: 1.04319e-04, Loss_f: 2.79511e-02
Iter: 2800, Loss: 1.00117e-01, Loss_0: 7.60774e-05, Loss_1: 7.08434e-02, Loss_b: 2.33825e-04, Loss_f: 2.89638e-02
Iter: 2900, Loss: 1.50694e-01, Loss_0: 3.00186e-04, Loss_1: 7.83835e-02, Loss_b: 3.35561e-04, Loss_f: 7.16743e-02
Iter: 3000, Loss: 8.22862e-02, Loss_0: 6.33612e-05, Loss_1: 5.72533e-02, Loss_b: 2.75538e-07, Loss_f: 2.49693e-02
Iter: 3100, Loss: 8.18182e-02, Loss_0: 8.03992e-06, Loss_1: 5.69750e-02, Loss_b: 9.17446e-07, Loss_f: 2.48342e-02
Iter: 3200, Loss: 7.79161e-02, Loss_0: 7.36150e-06, Loss_1: 5.35707e-02, Loss_b: 7.62045e-07, Loss_f: 2.43372e-02
Iter: 3300, Loss: 7.66518e-02, Loss_0: 2.09123e-05, Loss_1: 5.26917e-02, Loss_b: 6.02433e-07, Loss_f: 2.39385e-02
Iter: 3400, Loss: 7.55875e-02, Loss_0: 2.37289e-05, Loss_1: 5.20817e-02, Loss_b: 1.15543e-06, Loss_f: 2.34808e-02
Iter: 3500, Loss: 1.18150e-01, Loss_0: 5.18287e-05, Loss_1: 5.15160e-02, Loss_b: 5.41312e-05, Loss_f: 6.65280e-02
Iter: 3600, Loss: 8.11337e-02, Loss_0: 3.55858e-05, Loss_1: 4.92004e-02, Loss_b: 1.02508e-05, Loss_f: 3.18875e-02
Iter: 3700, Loss: 8.28902e-02, Loss_0: 1.20860e-05, Loss_1: 4.99521e-02, Loss_b: 1.91542e-05, Loss_f: 3.29069e-02
Iter: 3800, Loss: 7.24570e-02, Loss_0: 2.51761e-05, Loss_1: 5.07452e-02, Loss_b: 1.01216e-05, Loss_f: 2.16765e-02
Iter: 3900, Loss: 7.93714e-02, Loss_0: 3.94365e-05, Loss_1: 5.62380e-02, Loss_b: 1.91201e-05, Loss_f: 2.30748e-02
Iter: 4000, Loss: 1.33103e-01, Loss_0: 4.50630e-04, Loss_1: 5.64953e-02, Loss_b: 4.56669e-04, Loss_f: 7.57008e-02
Iter: 4100, Loss: 6.61554e-02, Loss_0: 2.53001e-05, Loss_1: 4.55924e-02, Loss_b: 4.62301e-06, Loss_f: 2.05330e-02
Iter: 4200, Loss: 1.07437e-01, Loss_0: 1.48798e-05, Loss_1: 4.46823e-02, Loss_b: 4.12949e-05, Loss_f: 6.26984e-02
Iter: 4300, Loss: 6.46946e-02, Loss_0: 2.30761e-05, Loss_1: 4.44624e-02, Loss_b: 6.87031e-06, Loss_f: 2.02023e-02
Iter: 4400, Loss: 6.47024e-02, Loss_0: 2.89731e-05, Loss_1: 4.39265e-02, Loss_b: 7.75407e-06, Loss_f: 2.07392e-02
Iter: 4500, Loss: 1.13078e-01, Loss_0: 3.35144e-04, Loss_1: 4.49066e-02, Loss_b: 1.88468e-05, Loss_f: 6.78174e-02
Iter: 4600, Loss: 6.83499e-02, Loss_0: 8.07394e-06, Loss_1: 4.74613e-02, Loss_b: 1.23519e-05, Loss_f: 2.08681e-02
Iter: 4700, Loss: 6.57812e-02, Loss_0: 8.62934e-06, Loss_1: 4.63431e-02, Loss_b: 2.77963e-05, Loss_f: 1.94017e-02
Iter: 4800, Loss: 6.52947e-02, Loss_0: 9.45240e-06, Loss_1: 4.61750e-02, Loss_b: 2.81225e-05, Loss_f: 1.90820e-02
Iter: 4900, Loss: 6.33174e-02, Loss_0: 6.64930e-06, Loss_1: 4.48683e-02, Loss_b: 2.40529e-05, Loss_f: 1.84184e-02
Iter: 5000, Loss: 6.30150e-02, Loss_0: 1.65150e-05, Loss_1: 4.45891e-02, Loss_b: 2.31368e-05, Loss_f: 1.83863e-02
Iter: 5100, Loss: 6.93747e-02, Loss_0: 2.40909e-05, Loss_1: 5.01759e-02, Loss_b: 2.25969e-04, Loss_f: 1.89487e-02
Iter: 5200, Loss: 8.15595e-02, Loss_0: 6.14258e-05, Loss_1: 4.28562e-02, Loss_b: 1.62818e-04, Loss_f: 3.84791e-02
Iter: 5300, Loss: 5.87079e-02, Loss_0: 5.61634e-06, Loss_1: 4.19905e-02, Loss_b: 2.59907e-05, Loss_f: 1.66858e-02
Iter: 5400, Loss: 6.71654e-02, Loss_0: 5.14645e-05, Loss_1: 4.79199e-02, Loss_b: 3.06794e-05, Loss_f: 1.91633e-02
Iter: 5500, Loss: 5.55855e-02, Loss_0: 2.73599e-05, Loss_1: 3.76513e-02, Loss_b: 1.12458e-05, Loss_f: 1.78956e-02
Iter: 5600, Loss: 5.72264e-02, Loss_0: 2.86148e-05, Loss_1: 3.87890e-02, Loss_b: 1.20122e-05, Loss_f: 1.83969e-02
Iter: 5700, Loss: 5.53247e-02, Loss_0: 1.95473e-05, Loss_1: 3.81266e-02, Loss_b: 1.41369e-05, Loss_f: 1.71645e-02
Iter: 5800, Loss: 5.13891e-02, Loss_0: 9.89923e-06, Loss_1: 3.64449e-02, Loss_b: 1.52748e-05, Loss_f: 1.49191e-02
Iter: 5900, Loss: 1.97458e-01, Loss_0: 2.29105e-04, Loss_1: 3.80289e-02, Loss_b: 2.15492e-05, Loss_f: 1.59178e-01
Iter: 6000, Loss: 6.32280e-02, Loss_0: 1.06567e-04, Loss_1: 3.95871e-02, Loss_b: 2.49806e-05, Loss_f: 2.35094e-02
Iter: 6100, Loss: 8.21324e-02, Loss_0: 5.12981e-06, Loss_1: 3.56957e-02, Loss_b: 7.73022e-05, Loss_f: 4.63542e-02
Iter: 6200, Loss: 4.81863e-02, Loss_0: 8.99003e-06, Loss_1: 3.49541e-02, Loss_b: 1.48427e-05, Loss_f: 1.32084e-02
Iter: 6300, Loss: 9.01082e-02, Loss_0: 2.65374e-05, Loss_1: 3.47093e-02, Loss_b: 3.39714e-05, Loss_f: 5.53384e-02
Iter: 6400, Loss: 5.37580e-02, Loss_0: 1.11769e-05, Loss_1: 3.68812e-02, Loss_b: 3.30329e-05, Loss_f: 1.68326e-02
Iter: 6500, Loss: 4.75110e-02, Loss_0: 1.72732e-05, Loss_1: 3.34528e-02, Loss_b: 1.88167e-05, Loss_f: 1.40221e-02
Iter: 6600, Loss: 4.89758e-02, Loss_0: 5.72494e-06, Loss_1: 3.54843e-02, Loss_b: 2.48829e-05, Loss_f: 1.34609e-02
Iter: 6700, Loss: 4.73945e-02, Loss_0: 1.19556e-05, Loss_1: 3.44501e-02, Loss_b: 3.64757e-05, Loss_f: 1.28959e-02
Iter: 6800, Loss: 6.26798e-02, Loss_0: 1.09162e-04, Loss_1: 3.24598e-02, Loss_b: 3.97872e-05, Loss_f: 3.00711e-02
Iter: 6900, Loss: 9.25423e-02, Loss_0: 2.48227e-05, Loss_1: 3.34268e-02, Loss_b: 1.20161e-04, Loss_f: 5.89705e-02
Iter: 7000, Loss: 4.46234e-02, Loss_0: 9.37564e-06, Loss_1: 3.21764e-02, Loss_b: 2.42252e-05, Loss_f: 1.24135e-02
Iter: 7100, Loss: 4.54863e-02, Loss_0: 2.52039e-05, Loss_1: 3.18904e-02, Loss_b: 2.34522e-05, Loss_f: 1.35473e-02
