Start Training:
Iter: 0, Loss: 2.27390e+00, Loss_0: 2.71812e-01, Loss_1: 1.90264e+00, Loss_b: 5.16299e-02, Loss_f: 4.78170e-02
Iter: 100, Loss: 5.04515e-01, Loss_0: 7.13483e-05, Loss_1: 4.49539e-01, Loss_b: 2.01322e-04, Loss_f: 5.47039e-02
Iter: 200, Loss: 8.37987e-02, Loss_0: 4.18090e-06, Loss_1: 4.71409e-02, Loss_b: 6.57492e-05, Loss_f: 3.65879e-02
Iter: 300, Loss: 5.36378e-02, Loss_0: 2.48639e-05, Loss_1: 3.21283e-02, Loss_b: 4.93167e-05, Loss_f: 2.14354e-02
Iter: 400, Loss: 3.56536e-02, Loss_0: 1.17689e-05, Loss_1: 2.20965e-02, Loss_b: 1.44761e-05, Loss_f: 1.35308e-02
Iter: 500, Loss: 2.06869e-02, Loss_0: 1.74295e-04, Loss_1: 1.29721e-02, Loss_b: 9.97594e-04, Loss_f: 6.54295e-03
Iter: 600, Loss: 1.47990e-02, Loss_0: 5.48241e-05, Loss_1: 9.88708e-03, Loss_b: 2.34758e-05, Loss_f: 4.83358e-03
Iter: 700, Loss: 1.13256e-02, Loss_0: 1.64989e-05, Loss_1: 7.42640e-03, Loss_b: 1.64624e-04, Loss_f: 3.71808e-03
Iter: 800, Loss: 9.33715e-03, Loss_0: 6.95395e-06, Loss_1: 5.83600e-03, Loss_b: 7.89058e-05, Loss_f: 3.41529e-03
Iter: 900, Loss: 7.43524e-03, Loss_0: 8.05119e-06, Loss_1: 4.78807e-03, Loss_b: 3.75693e-05, Loss_f: 2.60155e-03
Iter: 1000, Loss: 6.38814e-03, Loss_0: 8.00333e-05, Loss_1: 3.84459e-03, Loss_b: 3.58982e-04, Loss_f: 2.10454e-03
Iter: 1100, Loss: 4.71408e-03, Loss_0: 7.66596e-06, Loss_1: 3.04212e-03, Loss_b: 1.68794e-05, Loss_f: 1.64742e-03
Iter: 1200, Loss: 3.75374e-03, Loss_0: 6.13056e-06, Loss_1: 2.36361e-03, Loss_b: 1.96417e-05, Loss_f: 1.36436e-03
Iter: 1300, Loss: 4.72721e-03, Loss_0: 3.95721e-05, Loss_1: 2.01111e-03, Loss_b: 1.69501e-04, Loss_f: 2.50703e-03
Iter: 1400, Loss: 2.55150e-03, Loss_0: 5.23526e-06, Loss_1: 1.47890e-03, Loss_b: 3.40974e-05, Loss_f: 1.03326e-03
Iter: 1500, Loss: 2.13900e-03, Loss_0: 5.61773e-06, Loss_1: 1.24159e-03, Loss_b: 2.81157e-05, Loss_f: 8.63681e-04
Iter: 1600, Loss: 1.88391e-03, Loss_0: 5.55337e-06, Loss_1: 1.07603e-03, Loss_b: 1.93297e-05, Loss_f: 7.82992e-04
Iter: 1700, Loss: 1.94739e-03, Loss_0: 4.82314e-06, Loss_1: 9.58297e-04, Loss_b: 2.84435e-05, Loss_f: 9.55822e-04
Iter: 1800, Loss: 2.28647e-03, Loss_0: 7.62446e-05, Loss_1: 9.52205e-04, Loss_b: 3.23136e-04, Loss_f: 9.34881e-04
Iter: 1900, Loss: 2.02275e-03, Loss_0: 1.96269e-05, Loss_1: 7.39583e-04, Loss_b: 2.24731e-05, Loss_f: 1.24106e-03
Iter: 2000, Loss: 1.26029e-03, Loss_0: 5.27981e-06, Loss_1: 6.84087e-04, Loss_b: 1.83168e-05, Loss_f: 5.52602e-04
