Start Training:
Iter: 0, Loss: 2.82389e+00, Loss_0: 3.74447e-01, Loss_1: 2.02467e+00, Loss_b: 3.62655e-01, Loss_f: 6.21207e-02
Iter: 100, Loss: 1.01108e+00, Loss_0: 1.59819e-04, Loss_1: 9.95805e-01, Loss_b: 4.47702e-03, Loss_f: 1.06425e-02
Iter: 200, Loss: 1.55000e-01, Loss_0: 1.18190e-04, Loss_1: 9.49293e-02, Loss_b: 5.55452e-04, Loss_f: 5.93969e-02
Iter: 300, Loss: 8.98788e-02, Loss_0: 8.42444e-05, Loss_1: 5.80295e-02, Loss_b: 6.63264e-05, Loss_f: 3.16987e-02
Iter: 400, Loss: 5.16739e-02, Loss_0: 6.64129e-05, Loss_1: 3.51041e-02, Loss_b: 8.59922e-05, Loss_f: 1.64174e-02
Iter: 500, Loss: 3.61121e-02, Loss_0: 7.49468e-05, Loss_1: 2.49688e-02, Loss_b: 6.10613e-05, Loss_f: 1.10073e-02
Iter: 600, Loss: 2.88772e-02, Loss_0: 7.50373e-05, Loss_1: 2.01462e-02, Loss_b: 1.21548e-04, Loss_f: 8.53442e-03
Iter: 700, Loss: 2.37984e-02, Loss_0: 7.02677e-05, Loss_1: 1.65989e-02, Loss_b: 7.17956e-05, Loss_f: 7.05744e-03
Iter: 800, Loss: 1.96447e-02, Loss_0: 1.43635e-04, Loss_1: 1.33736e-02, Loss_b: 2.39508e-04, Loss_f: 5.88795e-03
Iter: 900, Loss: 1.52361e-02, Loss_0: 6.04394e-05, Loss_1: 1.11503e-02, Loss_b: 3.93645e-05, Loss_f: 3.98600e-03
Iter: 1000, Loss: 1.31726e-02, Loss_0: 5.74431e-05, Loss_1: 9.75392e-03, Loss_b: 3.77765e-05, Loss_f: 3.32351e-03
Iter: 1100, Loss: 1.16926e-02, Loss_0: 5.51361e-05, Loss_1: 8.77031e-03, Loss_b: 1.49240e-05, Loss_f: 2.85220e-03
Iter: 1200, Loss: 1.02681e-02, Loss_0: 5.51045e-05, Loss_1: 7.72186e-03, Loss_b: 1.01997e-05, Loss_f: 2.48089e-03
Iter: 1300, Loss: 9.02469e-03, Loss_0: 5.36627e-05, Loss_1: 6.81817e-03, Loss_b: 6.14873e-06, Loss_f: 2.14671e-03
Iter: 1400, Loss: 8.17404e-03, Loss_0: 6.58584e-05, Loss_1: 5.99894e-03, Loss_b: 2.13030e-05, Loss_f: 2.08794e-03
Iter: 1500, Loss: 7.29332e-03, Loss_0: 6.43643e-05, Loss_1: 5.32984e-03, Loss_b: 6.44565e-06, Loss_f: 1.89267e-03
Iter: 1600, Loss: 6.64066e-03, Loss_0: 7.34391e-05, Loss_1: 4.48363e-03, Loss_b: 2.54777e-06, Loss_f: 2.08104e-03
Iter: 1700, Loss: 7.41635e-03, Loss_0: 1.02947e-04, Loss_1: 3.80012e-03, Loss_b: 1.12222e-05, Loss_f: 3.50206e-03
Iter: 1800, Loss: 4.62502e-03, Loss_0: 5.32370e-05, Loss_1: 3.22972e-03, Loss_b: 2.33145e-06, Loss_f: 1.33972e-03
Iter: 1900, Loss: 4.16941e-03, Loss_0: 5.31848e-05, Loss_1: 2.84366e-03, Loss_b: 4.79684e-06, Loss_f: 1.26778e-03
Iter: 2000, Loss: 3.99012e-03, Loss_0: 5.58006e-05, Loss_1: 2.49177e-03, Loss_b: 1.07887e-05, Loss_f: 1.43176e-03
Iter: 2100, Loss: 3.90421e-03, Loss_0: 5.89777e-05, Loss_1: 2.28319e-03, Loss_b: 3.82625e-06, Loss_f: 1.55821e-03
Iter: 2200, Loss: 3.88254e-03, Loss_0: 6.17473e-05, Loss_1: 2.09713e-03, Loss_b: 2.21461e-05, Loss_f: 1.70151e-03
Iter: 2300, Loss: 3.51363e-03, Loss_0: 5.86722e-05, Loss_1: 1.94031e-03, Loss_b: 1.67260e-05, Loss_f: 1.49793e-03
Iter: 2400, Loss: 2.81230e-03, Loss_0: 5.31414e-05, Loss_1: 1.70807e-03, Loss_b: 9.45094e-06, Loss_f: 1.04164e-03
Iter: 2500, Loss: 5.31188e-03, Loss_0: 8.86140e-05, Loss_1: 1.54616e-03, Loss_b: 2.68224e-05, Loss_f: 3.65029e-03
Iter: 2600, Loss: 2.69824e-03, Loss_0: 5.58550e-05, Loss_1: 1.41202e-03, Loss_b: 8.97834e-06, Loss_f: 1.22139e-03
Iter: 2700, Loss: 3.76062e-03, Loss_0: 6.93611e-05, Loss_1: 1.33851e-03, Loss_b: 3.22393e-06, Loss_f: 2.34953e-03
Iter: 2800, Loss: 2.13687e-03, Loss_0: 5.26049e-05, Loss_1: 1.29914e-03, Loss_b: 3.57525e-06, Loss_f: 7.81549e-04
Iter: 2900, Loss: 3.60189e-03, Loss_0: 8.05623e-05, Loss_1: 1.18534e-03, Loss_b: 4.96081e-05, Loss_f: 2.28637e-03
Iter: 3000, Loss: 2.21442e-03, Loss_0: 5.20829e-05, Loss_1: 1.14419e-03, Loss_b: 2.50874e-06, Loss_f: 1.01563e-03
Iter: 3100, Loss: 1.69611e-03, Loss_0: 5.11052e-05, Loss_1: 1.05040e-03, Loss_b: 9.18632e-06, Loss_f: 5.85417e-04
Iter: 3200, Loss: 1.80297e-03, Loss_0: 5.44125e-05, Loss_1: 9.06004e-04, Loss_b: 7.13002e-06, Loss_f: 8.35421e-04
Iter: 3300, Loss: 1.44614e-03, Loss_0: 5.12181e-05, Loss_1: 8.19856e-04, Loss_b: 1.09790e-06, Loss_f: 5.73970e-04
Iter: 3400, Loss: 3.85195e-03, Loss_0: 1.02533e-04, Loss_1: 8.80347e-04, Loss_b: 6.25432e-05, Loss_f: 2.80652e-03
Iter: 3500, Loss: 1.45438e-03, Loss_0: 5.20961e-05, Loss_1: 7.40586e-04, Loss_b: 1.49912e-06, Loss_f: 6.60202e-04
