Start Training:
Iter: 0, Loss: 1.53186e+00, Loss_0: 5.64661e-01, Loss_1: 1.00278e-01, Loss_b: 6.70345e-01, Loss_f: 1.96573e-01
Iter: 100, Loss: 1.39445e-02, Loss_0: 4.85816e-06, Loss_1: 1.38578e-02, Loss_b: 4.11596e-05, Loss_f: 4.07198e-05
Iter: 200, Loss: 1.35848e-02, Loss_0: 5.89590e-07, Loss_1: 1.35440e-02, Loss_b: 8.48126e-06, Loss_f: 3.17253e-05
Iter: 300, Loss: 1.31481e-02, Loss_0: 3.99698e-07, Loss_1: 1.30941e-02, Loss_b: 3.24332e-06, Loss_f: 5.03528e-05
Iter: 400, Loss: 1.25063e-02, Loss_0: 3.97813e-07, Loss_1: 1.24170e-02, Loss_b: 1.40842e-06, Loss_f: 8.74679e-05
Iter: 500, Loss: 1.14452e-02, Loss_0: 5.05196e-07, Loss_1: 1.13029e-02, Loss_b: 9.19664e-07, Loss_f: 1.40832e-04
Iter: 600, Loss: 1.05322e-02, Loss_0: 3.24440e-07, Loss_1: 1.03562e-02, Loss_b: 6.92380e-06, Loss_f: 1.68716e-04
Iter: 700, Loss: 1.03224e-02, Loss_0: 2.61166e-07, Loss_1: 1.01401e-02, Loss_b: 1.27037e-05, Loss_f: 1.69335e-04
Iter: 800, Loss: 1.02752e-02, Loss_0: 2.89316e-07, Loss_1: 1.00939e-02, Loss_b: 1.12938e-05, Loss_f: 1.69694e-04
Iter: 900, Loss: 1.02456e-02, Loss_0: 2.61818e-07, Loss_1: 1.00685e-02, Loss_b: 1.05418e-05, Loss_f: 1.66372e-04
Iter: 1000, Loss: 1.02175e-02, Loss_0: 2.42102e-07, Loss_1: 1.00459e-02, Loss_b: 1.03237e-05, Loss_f: 1.61104e-04
Iter: 1100, Loss: 1.01882e-02, Loss_0: 2.35894e-07, Loss_1: 1.00224e-02, Loss_b: 1.03275e-05, Loss_f: 1.55277e-04
Iter: 1200, Loss: 1.01566e-02, Loss_0: 2.32228e-07, Loss_1: 9.99670e-03, Loss_b: 1.04429e-05, Loss_f: 1.49223e-04
Iter: 1300, Loss: 1.01215e-02, Loss_0: 2.27336e-07, Loss_1: 9.96782e-03, Loss_b: 1.06434e-05, Loss_f: 1.42765e-04
Iter: 1400, Loss: 1.00812e-02, Loss_0: 2.20250e-07, Loss_1: 9.93441e-03, Loss_b: 1.09455e-05, Loss_f: 1.35584e-04
Iter: 1500, Loss: 1.00331e-02, Loss_0: 2.11557e-07, Loss_1: 9.89418e-03, Loss_b: 1.14125e-05, Loss_f: 1.27326e-04
Iter: 1600, Loss: 9.97331e-03, Loss_0: 2.05513e-07, Loss_1: 9.84317e-03, Loss_b: 1.22904e-05, Loss_f: 1.17646e-04
Iter: 1700, Loss: 9.89678e-03, Loss_0: 5.74417e-07, Loss_1: 9.77586e-03, Loss_b: 1.17517e-05, Loss_f: 1.08592e-04
Iter: 1800, Loss: 9.78792e-03, Loss_0: 1.80694e-07, Loss_1: 9.67261e-03, Loss_b: 1.50787e-05, Loss_f: 1.00051e-04
Iter: 1900, Loss: 9.64008e-03, Loss_0: 6.87779e-06, Loss_1: 9.51407e-03, Loss_b: 1.56942e-05, Loss_f: 1.03434e-04
Iter: 2000, Loss: 1.25163e-02, Loss_0: 1.01624e-03, Loss_1: 9.47949e-03, Loss_b: 1.68319e-03, Loss_f: 3.37346e-04
Iter: 2100, Loss: 8.52442e-03, Loss_0: 1.80875e-06, Loss_1: 8.32005e-03, Loss_b: 3.95345e-06, Loss_f: 1.98612e-04
Iter: 2200, Loss: 6.77273e-03, Loss_0: 2.63967e-06, Loss_1: 6.48815e-03, Loss_b: 3.29135e-06, Loss_f: 2.78642e-04
Iter: 2300, Loss: 1.09590e-02, Loss_0: 6.71714e-04, Loss_1: 4.84068e-03, Loss_b: 4.50452e-03, Loss_f: 9.42084e-04
Iter: 2400, Loss: 3.62518e-03, Loss_0: 1.28079e-06, Loss_1: 3.29997e-03, Loss_b: 5.22530e-06, Loss_f: 3.18701e-04
Iter: 2500, Loss: 1.99654e-02, Loss_0: 1.88527e-03, Loss_1: 4.55514e-03, Loss_b: 9.82836e-03, Loss_f: 3.69667e-03
