Start Training:
Iter: 0, Loss: 1.81557e+00, Loss_0: 1.60337e+00, Loss_1: 4.53149e-02, Loss_b: 4.39202e-02, Loss_f: 1.22969e-01
Iter: 100, Loss: 1.27167e-02, Loss_0: 1.15804e-05, Loss_1: 1.26654e-02, Loss_b: 3.83350e-06, Loss_f: 3.58734e-05
Iter: 200, Loss: 1.11353e-02, Loss_0: 9.59426e-08, Loss_1: 1.10130e-02, Loss_b: 1.57188e-06, Loss_f: 1.20696e-04
Iter: 300, Loss: 7.49449e-03, Loss_0: 1.59316e-07, Loss_1: 7.06917e-03, Loss_b: 2.69430e-05, Loss_f: 3.98216e-04
Iter: 400, Loss: 5.85705e-03, Loss_0: 4.65298e-07, Loss_1: 5.05402e-03, Loss_b: 3.04034e-05, Loss_f: 7.72153e-04
Iter: 500, Loss: 5.37910e-03, Loss_0: 5.82113e-07, Loss_1: 4.67809e-03, Loss_b: 9.13234e-06, Loss_f: 6.91297e-04
Iter: 600, Loss: 5.06428e-03, Loss_0: 5.99968e-07, Loss_1: 4.41178e-03, Loss_b: 6.25285e-06, Loss_f: 6.45647e-04
Iter: 700, Loss: 4.89412e-03, Loss_0: 8.92002e-08, Loss_1: 4.24353e-03, Loss_b: 1.09178e-05, Loss_f: 6.39576e-04
Iter: 800, Loss: 4.77560e-03, Loss_0: 8.76053e-08, Loss_1: 4.14543e-03, Loss_b: 1.19642e-05, Loss_f: 6.18117e-04
Iter: 900, Loss: 4.66392e-03, Loss_0: 8.83225e-08, Loss_1: 4.07773e-03, Loss_b: 1.02910e-05, Loss_f: 5.75804e-04
Iter: 1000, Loss: 4.53516e-03, Loss_0: 9.26933e-08, Loss_1: 4.01731e-03, Loss_b: 6.98328e-06, Loss_f: 5.10770e-04
Iter: 1100, Loss: 4.37124e-03, Loss_0: 1.06038e-07, Loss_1: 3.94948e-03, Loss_b: 2.72702e-06, Loss_f: 4.18936e-04
Iter: 1200, Loss: 4.18977e-03, Loss_0: 1.09835e-07, Loss_1: 3.86859e-03, Loss_b: 5.70570e-08, Loss_f: 3.21018e-04
Iter: 1300, Loss: 4.05428e-03, Loss_0: 1.02098e-07, Loss_1: 3.78605e-03, Loss_b: 3.72445e-06, Loss_f: 2.64410e-04
Iter: 1400, Loss: 3.96640e-03, Loss_0: 1.20835e-07, Loss_1: 3.72009e-03, Loss_b: 5.10831e-06, Loss_f: 2.41090e-04
Iter: 1500, Loss: 3.94760e-03, Loss_0: 1.05279e-06, Loss_1: 3.66421e-03, Loss_b: 4.80388e-05, Loss_f: 2.34305e-04
Iter: 1600, Loss: 3.84389e-03, Loss_0: 1.15741e-07, Loss_1: 3.62471e-03, Loss_b: 6.38280e-06, Loss_f: 2.12679e-04
Iter: 1700, Loss: 5.24648e-03, Loss_0: 5.64852e-05, Loss_1: 3.69154e-03, Loss_b: 1.19298e-03, Loss_f: 3.05473e-04
Iter: 1800, Loss: 3.74227e-03, Loss_0: 1.71724e-07, Loss_1: 3.55676e-03, Loss_b: 5.12423e-06, Loss_f: 1.80211e-04
Iter: 1900, Loss: 3.69483e-03, Loss_0: 1.29897e-07, Loss_1: 3.52548e-03, Loss_b: 3.84131e-06, Loss_f: 1.65370e-04
Iter: 2000, Loss: 3.66941e-03, Loss_0: 2.10459e-07, Loss_1: 3.50610e-03, Loss_b: 1.08404e-05, Loss_f: 1.52267e-04
Iter: 2100, Loss: 3.62819e-03, Loss_0: 8.43230e-08, Loss_1: 3.48078e-03, Loss_b: 2.07548e-06, Loss_f: 1.45251e-04
Iter: 2200, Loss: 3.60169e-03, Loss_0: 1.06856e-07, Loss_1: 3.45947e-03, Loss_b: 1.45659e-06, Loss_f: 1.40651e-04
Iter: 2300, Loss: 3.64368e-03, Loss_0: 2.36806e-06, Loss_1: 3.44104e-03, Loss_b: 5.82144e-05, Loss_f: 1.42057e-04
Iter: 2400, Loss: 3.56324e-03, Loss_0: 1.00674e-07, Loss_1: 3.42577e-03, Loss_b: 9.94577e-07, Loss_f: 1.36378e-04
Iter: 2500, Loss: 3.54156e-03, Loss_0: 9.47385e-08, Loss_1: 3.40325e-03, Loss_b: 8.90375e-07, Loss_f: 1.37328e-04
Iter: 2600, Loss: 3.51702e-03, Loss_0: 9.45738e-08, Loss_1: 3.37780e-03, Loss_b: 8.11853e-07, Loss_f: 1.38312e-04
Iter: 2700, Loss: 3.49376e-03, Loss_0: 1.52031e-07, Loss_1: 3.35451e-03, Loss_b: 1.13198e-06, Loss_f: 1.37965e-04
Iter: 2800, Loss: 3.45512e-03, Loss_0: 9.58926e-08, Loss_1: 3.31393e-03, Loss_b: 8.51343e-07, Loss_f: 1.40239e-04
Iter: 2900, Loss: 3.53127e-03, Loss_0: 9.01959e-05, Loss_1: 3.24205e-03, Loss_b: 1.35645e-05, Loss_f: 1.85455e-04
Iter: 3000, Loss: 3.34368e-03, Loss_0: 8.77827e-08, Loss_1: 3.20198e-03, Loss_b: 6.31029e-07, Loss_f: 1.40981e-04
Iter: 3100, Loss: 3.28174e-03, Loss_0: 1.29759e-07, Loss_1: 3.11445e-03, Loss_b: 2.46656e-05, Loss_f: 1.42493e-04
Iter: 3200, Loss: 3.08470e-03, Loss_0: 3.99485e-07, Loss_1: 2.95377e-03, Loss_b: 4.64682e-07, Loss_f: 1.30063e-04
Iter: 3300, Loss: 2.88080e-03, Loss_0: 2.88239e-07, Loss_1: 2.75011e-03, Loss_b: 3.04078e-06, Loss_f: 1.27364e-04
Iter: 3400, Loss: 2.62494e-03, Loss_0: 5.18179e-07, Loss_1: 2.46620e-03, Loss_b: 7.37492e-07, Loss_f: 1.57482e-04
Iter: 3500, Loss: 2.41869e-03, Loss_0: 3.93344e-05, Loss_1: 2.20159e-03, Loss_b: 6.44222e-06, Loss_f: 1.71323e-04
Iter: 3600, Loss: 1.98959e-03, Loss_0: 1.95986e-07, Loss_1: 1.79987e-03, Loss_b: 8.37776e-07, Loss_f: 1.88679e-04
Iter: 3700, Loss: 1.59666e-03, Loss_0: 8.38273e-08, Loss_1: 1.40558e-03, Loss_b: 6.26858e-07, Loss_f: 1.90377e-04
Iter: 3800, Loss: 1.21675e-03, Loss_0: 6.90753e-07, Loss_1: 9.97380e-04, Loss_b: 5.45687e-07, Loss_f: 2.18135e-04
Iter: 3900, Loss: 9.85781e-04, Loss_0: 5.20615e-06, Loss_1: 7.48991e-04, Loss_b: 1.31139e-06, Loss_f: 2.30273e-04
Iter: 4000, Loss: 8.80977e-04, Loss_0: 3.99011e-07, Loss_1: 5.92150e-04, Loss_b: 7.33153e-05, Loss_f: 2.15113e-04
Iter: 4100, Loss: 2.38627e-03, Loss_0: 1.10123e-04, Loss_1: 6.86615e-04, Loss_b: 9.60904e-04, Loss_f: 6.28632e-04
Iter: 4200, Loss: 7.10388e-04, Loss_0: 4.25557e-05, Loss_1: 3.97232e-04, Loss_b: 9.46160e-05, Loss_f: 1.75985e-04
Iter: 4300, Loss: 4.59891e-04, Loss_0: 6.02224e-07, Loss_1: 3.17939e-04, Loss_b: 2.34737e-07, Loss_f: 1.41115e-04
Iter: 4400, Loss: 8.57153e-04, Loss_0: 1.22980e-04, Loss_1: 3.43533e-04, Loss_b: 3.40048e-05, Loss_f: 3.56635e-04
Iter: 4500, Loss: 9.13773e-04, Loss_0: 1.05125e-04, Loss_1: 2.43206e-04, Loss_b: 1.04510e-04, Loss_f: 4.60932e-04
Iter: 4600, Loss: 5.36394e-04, Loss_0: 5.25753e-05, Loss_1: 2.63686e-04, Loss_b: 3.57715e-07, Loss_f: 2.19775e-04
Iter: 4700, Loss: 3.49509e-04, Loss_0: 8.42552e-06, Loss_1: 1.99282e-04, Loss_b: 9.33006e-06, Loss_f: 1.32471e-04
Iter: 4800, Loss: 3.32221e-04, Loss_0: 9.78294e-06, Loss_1: 1.85461e-04, Loss_b: 4.58015e-06, Loss_f: 1.32397e-04
Iter: 4900, Loss: 2.93491e-04, Loss_0: 2.99651e-06, Loss_1: 1.76147e-04, Loss_b: 1.16955e-05, Loss_f: 1.02652e-04
Iter: 5000, Loss: 4.33221e-04, Loss_0: 3.38943e-05, Loss_1: 1.84229e-04, Loss_b: 2.04294e-07, Loss_f: 2.14894e-04
Iter: 5100, Loss: 1.89043e-03, Loss_0: 4.55285e-06, Loss_1: 3.01768e-04, Loss_b: 1.00812e-03, Loss_f: 5.75986e-04
Iter: 5200, Loss: 2.26215e-04, Loss_0: 3.35197e-06, Loss_1: 1.40910e-04, Loss_b: 1.53503e-08, Loss_f: 8.19369e-05
Iter: 5300, Loss: 2.39807e-04, Loss_0: 7.17262e-06, Loss_1: 1.31600e-04, Loss_b: 1.17337e-06, Loss_f: 9.98607e-05
